url_route_id,route_name,start_stage,end_stage,distance_km,url
7000,427,Nizamuddin Railway Station,Mehrauli,19,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7000_Route.htm
7001,429,Railway Station,Kalkaji Dda Flats,16,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7001_Route.htm
7002,218,Indirapuri Loni Border,Hari Nagar Clock Tower,30,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7002_Route.htm
7003,443,Shahdara,Badarpur Mb Road,26,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7003_Route.htm
7004,231,Railway Station,Mangolpuri Terminal Block Q,19,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7004_Route.htm
7005,236,Anand Vihar Isbt,Nangloi Jj Colony,31,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7005_Route.htm
7006,236 EXT,Anand Vihar Isbt,Ghevra Savda Jj Colony,40,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7006_Route.htm
7007,455,Mori Gate Terminal,Jaitpur Village,24,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7007_Route.htm
7008,921 EXT,Gtb Nagar,Mubarakpur Dabas,23,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7008_Route.htm
7009,254,Babarpur Extension,Nangloi Jj Colony,29,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7009_Route.htm
7010,463 EXT,Lajpat Nagar,Mehrauli,15,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7010_Route.htm
7011,725,Mehrauli,Inderpuri Jj Colony Krishi Kunj,22,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7011_Route.htm
7012,73,Anand Vihar Isbt,Hari Nagar Clock Tower,27,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7012_Route.htm
7013,101,Nizamuddin Railway Station,Saroop Nagar Jj Colony Bhalswa,24,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7013_Route.htm
7014,26,Dr Mukherjee Nagar Bandh,Sewa Nagar Railway Crossing,18,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7014_Route.htm
7015,260,Kendriya Terminal,Yamuna Vihar Block C 4,20,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7015_Route.htm
7016,47,Inderpuri Jj Colony,Central Work Shop 1,25,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7016_Route.htm
7017,473,Anand Vihar Isbt,Badarpur Mb Road,25,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7017_Route.htm
7018,474,Safdarjung Terminal,Mithapur Extension Sindhu Farm,17,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7018_Route.htm
7019,739,Safdarjung Terminal,Dwarka Sector 19 Pocket 2,21,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7019_Route.htm
7020,741,Mangalpuri,Jonti Shivalaya,29,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7020_Route.htm
7021,301,Bmd Chowk,Mayur Vihar Phase 2,19,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7021_Route.htm
7022,503,Mori Gate Terminal,Malviya Nagar Block F,19,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7022_Route.htm
7023,118 EXT,Mori Gate,Mayur Vihar Phase 3,17,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7023_Route.htm
7024,778,Inderlok Metro Station,Madhu Vihar,16,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7024_Route.htm
7025,781,Minto Road Terminal,Palam Village,20,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7025_Route.htm
7026,331,Shivaji Stadium,Nand Nagri Extension,20,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7026_Route.htm
7027,518,Nizamuddin Railway Station,Uttam Nagar,29,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7027_Route.htm
7028,790A,Railway Station,Najafgarh Terminal,41,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7028_Route.htm
7029,792,Isbt,Bharthal Village,27,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7029_Route.htm
7030,127,Fatehpuri,Haidarpur,13,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7030_Route.htm
7031,129,Fatehpuri,Jhangola Village,26,http://www.onefivenine.com/india/BusRouteStage/bus_CityBus_7031_Route.htm
